sender_code,message_text,date,time
VK-PAYTM-P,Add Rs.299 to your Paytm wallet and get Rs.500 instant cashback.,12-10-2025,05:39:30
VM-JIOTXT-P,"Exclusive: Recharge Rs.999 and enjoy 1.5GB/day, unlimited calls & free roaming.",13-10-2025,22:32:45
VM-JIOTXT-P,"Exclusive: Recharge Rs.499 and enjoy 3GB/day, unlimited calls & free roaming.",11-10-2025,21:56:32
AD-AIRTEL-P,Weekend special: Rs.299 prepaid recharge and get double data for 56 days.,11-10-2025,07:07:05
VK-HDFCBA-P,Earn Rs.200 on online payments above Rs.3000 with your bank debit card.,13-10-2025,22:24:59
VI-VODAFN-P,Boost your plan! Rs.249 recharge comes with bonus 1GB GB + unlimited SMS.,13-10-2025,19:21:56
AD-SBIGEN-P,Earn 10x reward points on all SBI card transactions this month.,13-10-2025,04:30:27
VM-IRCTCS-S,Train 22345 from NDLS to NDLS on 20-01-2026 booked successfully. PNR: 1N7HVE.,12-10-2025,06:09:53
VM-ICICIB-P,Avail Rs.10 off on insurance premium when paying via ICICI Bank.,12-10-2025,00:02:03
VK-BSNLIN-P,Limited-time: Recharge Rs.299 and get extra 1.5GB data on your existing plan.,13-10-2025,22:56:57
VM-JIOTXT-P,"Exclusive: Recharge Rs.999 and enjoy 1.5GB/day, unlimited calls & free roaming.",12-10-2025,13:08:07
VM-JIOTXT-P,"Exclusive: Recharge Rs.149 and enjoy 3GB/day, unlimited calls & free roaming.",13-10-2025,07:58:01
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.300 joining bonus.,13-10-2025,14:52:14
VK-BSNLIN-P,Limited-time: Recharge Rs.499 and get extra 1.5GB data on your existing plan.,12-10-2025,06:04:25
AD-AXISBK-T,Axis Bank OTP: 150698 for your transaction of Rs.250. Valid for 10 minutes only.,13-10-2025,09:07:18
VK-BSNLIN-P,Limited-time: Recharge Rs.999 and get extra 1.5GB data on your existing plan.,12-10-2025,19:40:59
AD-YATRA-P,Holiday offer: Rs.10 off on adventure packages. Book now with code TRAVEL25.,12-10-2025,00:30:30
AD-SBIGEN-P,Earn 5x reward points on all SBI card transactions this month.,12-10-2025,02:49:06
VK-UBERIN-P,Rs.50 cashback on bus bookings above Rs.1000 this week only.,13-10-2025,23:09:19
VM-SBIBNK-S,"Dear Saanvi, Rs.199 credited to your account 9012 on 25-11-2025. New balance: Rs.2500.",13-10-2025,11:06:58
VK-HDFCBA-P,Get Rs.500 cashback on spending above Rs.5000 with your HDFC card.,12-10-2025,00:20:25
VK-ICICIB-T,ICICI Bank: 819082 is your OTP for transaction. Valid till 10 mins. Never share OTP.,13-10-2025,04:15:17
DM-AXISBK-P,Enjoy Rs.100 cashback on your next 3 transactions with Axis Bank card.,12-10-2025,08:32:22
VM-TRVLGO-P,Fly with us: Rs.20 off on selected flights booked today.,12-10-2025,20:23:39
AX-HDFCBK-S,Rs.499 debited from your a/c ending 9753 on 25-11-2025 at BookMyShow. Avl bal: Rs.2500.,13-10-2025,10:31:00
IM-MAKEMY-S,"Dear Saanvi, your booking for flight UK012 from Mumbai to Mumbai on 25-11-2025 is confirmed. PNR: 4GL7EV.",12-10-2025,21:24:02
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.300 joining bonus.,12-10-2025,17:15:29
VK-PAYTM-P,Add Rs.199 to your Paytm wallet and get Rs.300 instant cashback.,12-10-2025,20:40:14
AD-SBIGEN-P,Limited offer: Credit card spends above Rs.2000 get Rs.200 cashback this week.,13-10-2025,20:39:35
VM-TRVLGO-P,Plan your trip! Rs.60 discount on flight + hotel packages for limited days.,12-10-2025,18:45:16
AD-YATRA-P,Holiday offer: Rs.50 off on adventure packages. Book now with code SALE20.,13-10-2025,16:49:25
AD-YATRA-P,Travel more! Get Rs.15 off on Uber rides for next 21 days.,13-10-2025,21:26:15
DM-IRCTC-P,Weekend getaway: Rs.15 off on your first 3 bookings this month. Use FLYNOW.,13-10-2025,01:07:44
VM-SBIBNK-S,"Dear Saanvi, Rs.99 credited to your account 9753 on 23-12-2025. New balance: Rs.5000.",11-10-2025,20:24:04
VI-VODAFN-P,Boost your plan! Rs.499 recharge comes with bonus 3GB GB + unlimited SMS.,12-10-2025,09:42:38
VM-ICICIB-P,Personal loan up to Rs.3000 approved instantly with zero processing fees.,12-10-2025,15:27:13
VI-VODAFN-P,Top-up Rs.999 to continue enjoying 3GB/day and weekend rollover data.,12-10-2025,18:19:21
VM-JIOTXT-P,Recharge Rs.249 for 14 days and get 3GB/day + unlimited calls.,11-10-2025,16:56:08
DM-IRCTC-P,Limited offer: Rs.40 off on domestic hotels. Book before 28 days end.,12-10-2025,06:16:54
VM-ICICIB-P,Personal loan up to Rs.1000 approved instantly with zero processing fees.,12-10-2025,12:18:32
VI-VODAFN-P,Boost your plan! Rs.99 recharge comes with bonus 1.5GB GB + unlimited SMS.,11-10-2025,02:51:55
AD-AIRTEL-P,Special offer! Rs.99 prepaid pack gives 1GB/day + free SMS for 56 days.,12-10-2025,16:01:46
VM-TRVLGO-P,Fly with us: Rs.60 off on selected flights booked today.,11-10-2025,10:11:20
DM-AXISBK-P,Enjoy Rs.200 cashback on your next 3 transactions with Axis Bank card.,13-10-2025,08:38:41
AD-SBIGEN-P,Earn 10x reward points on all SBI card transactions this month.,12-10-2025,03:28:07
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.300 joining bonus.,11-10-2025,01:26:43
AD-AIRTEL-P,Weekend special: Rs.149 prepaid recharge and get double data for 56 days.,13-10-2025,01:37:32
VK-UBERIN-P,Rs.25 cashback on bus bookings above Rs.5000 this week only.,12-10-2025,14:38:40
AD-YATRA-P,Holiday offer: Rs.40 off on adventure packages. Book now with code FESTIVE10.,12-10-2025,11:00:20
VM-JIOTXT-P,Recharge now: Rs.499 plan valid for 14 days with 3GB/day and unlimited calls.,13-10-2025,13:55:40
AD-AIRTEL-P,Special offer! Rs.149 prepaid pack gives 1.5GB/day + free SMS for 28 days.,12-10-2025,12:07:51
DM-AXISBK-P,Invest Rs.249 in mutual funds and get Rs.100 bonus instantly.,12-10-2025,20:30:16
VI-VODAFN-P,Boost your plan! Rs.299 recharge comes with bonus 1.5GB GB + unlimited SMS.,12-10-2025,00:49:38
AD-YATRA-P,Holiday offer: Rs.60 off on adventure packages. Book now with code TRAVEL25.,13-10-2025,12:17:37
VM-PHONPE-T,PhonePe OTP 328387 for Rs.1000 transaction. Valid for 5 mins. Keep it secure.,12-10-2025,21:17:08
VM-TRVLGO-P,Plan your trip! Rs.30 discount on flight + hotel packages for limited days.,11-10-2025,13:56:10
AD-SBIGEN-P,Limited offer: Credit card spends above Rs.2000 get Rs.500 cashback this week.,12-10-2025,04:26:26
VM-ICICIB-P,Personal loan up to Rs.5000 approved instantly with zero processing fees.,13-10-2025,19:38:49
AD-YATRA-P,Travel more! Get Rs.50 off on Uber rides for next 21 days.,13-10-2025,21:21:01
AD-MMTTRV-P,Flat Rs.30 off on domestic flights. Use code RECHARGE50 today!,13-10-2025,02:58:39
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.300 joining bonus.,11-10-2025,03:00:29
AD-AIRTEL-P,Weekend special: Rs.99 prepaid recharge and get double data for 14 days.,13-10-2025,07:00:17
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.100 joining bonus.,13-10-2025,21:46:51
AD-YATRA-P,Holiday offer: Rs.15 off on adventure packages. Book now with code EATNOW.,12-10-2025,20:37:00
VI-VODAFN-S,"Hello Saanvi, your top-up of Rs.99 has been processed. Balance: Rs.1250.",13-10-2025,09:18:22
VK-BSNLIN-P,Stay connected: Rs.999 pack with 3GB/day + free night calls for 14 days.,13-10-2025,17:47:28
VM-IRCTCS-S,Train 12432 from CSMT to HWH on 25-11-2025 booked successfully. PNR: JJ8GA1.,12-10-2025,07:27:21
AD-AIRTEL-S,Recharge of Rs.149 completed for mobile 9876543210. Plan valid up to 20-01-2026.,11-10-2025,01:21:53
DM-IRCTC-P,Limited offer: Rs.20 off on domestic hotels. Book before 28 days end.,11-10-2025,22:05:23
VM-JIOTXT-P,Recharge now: Rs.99 plan valid for 56 days with 1GB/day and unlimited calls.,11-10-2025,01:31:54
VK-BSNLIN-P,Limited-time: Recharge Rs.299 and get extra 1.5GB data on your existing plan.,12-10-2025,06:02:30
VM-TRVLGO-P,Fly with us: Rs.40 off on selected flights booked today.,13-10-2025,18:01:46
VK-UBERIN-P,Rs.25 cashback on bus bookings above Rs.3000 this week only.,13-10-2025,09:39:34
VK-HDFCBA-P,Get Rs.300 cashback on spending above Rs.2000 with your HDFC card.,13-10-2025,11:41:57
VI-VODAFN-S,"Hello Saanvi, your top-up of Rs.199 has been processed. Balance: Rs.15000.",13-10-2025,02:24:23
DM-IRCTC-P,Limited offer: Rs.10 off on domestic hotels. Book before 28 days end.,12-10-2025,15:16:55
VK-UBERIN-P,Enjoy Rs.15 cashback on train bookings via IRCTC App this week.,12-10-2025,11:31:55
VM-ICICIB-P,Avail Rs.25 off on insurance premium when paying via ICICI Bank.,13-10-2025,15:49:02
DM-AXISBK-P,Enjoy Rs.200 cashback on your next 3 transactions with Axis Bank card.,12-10-2025,19:39:42
AD-SBIGEN-P,Limited offer: Credit card spends above Rs.2000 get Rs.500 cashback this week.,13-10-2025,23:05:52
DM-IRCTC-P,Limited offer: Rs.25 off on domestic hotels. Book before 28 days end.,11-10-2025,21:31:39
DM-AXISBK-P,Enjoy Rs.300 cashback on your next 3 transactions with Axis Bank card.,13-10-2025,13:12:07
DM-IRCTC-P,Limited offer: Rs.60 off on domestic hotels. Book before 21 days end.,11-10-2025,01:27:21
AD-AIRTEL-P,Special offer! Rs.499 prepaid pack gives 3GB/day + free SMS for 56 days.,12-10-2025,00:53:52
VK-UBERIN-P,Rs.30 cashback on bus bookings above Rs.2000 this week only.,12-10-2025,22:19:00
AD-PAYTM-T,790953 is your Paytm verification code for Rs.10000 payment. Do not share with anyone.,12-10-2025,23:18:20
VM-SBIBNK-S,"Dear Saanvi, Rs.249 credited to your account 1357 on 23-12-2025. New balance: Rs.7500.",11-10-2025,04:13:18
VM-TRVLGO-P,Plan your trip! Rs.60 discount on flight + hotel packages for limited days.,13-10-2025,03:13:12
VM-JIOTXT-S,"Dear customer, your recharge of Rs.149 for plan 399 is successful. Valid till 25-11-2025.",11-10-2025,01:24:11
VK-BSNLIN-P,Stay connected: Rs.999 pack with 1GB/day + free night calls for 28 days.,13-10-2025,17:01:55
VK-HDFCBA-P,Get Rs.500 cashback on spending above Rs.5000 with your HDFC card.,11-10-2025,09:37:35
AD-YATRA-P,Holiday offer: Rs.10 off on adventure packages. Book now with code SALE20.,13-10-2025,07:20:38
AD-SBIGEN-P,Limited offer: Credit card spends above Rs.1000 get Rs.200 cashback this week.,13-10-2025,04:43:03
VM-ICICIB-P,Personal loan up to Rs.5000 approved instantly with zero processing fees.,13-10-2025,15:20:19
VM-TRVLGO-P,Plan your trip! Rs.30 discount on flight + hotel packages for limited days.,11-10-2025,09:10:19
AD-AIRTEL-S,Recharge of Rs.499 completed for mobile 9876543210. Plan valid up to 23-12-2025.,11-10-2025,07:10:18
AX-HDFCBK-S,Rs.99 debited from your a/c ending 5678 on 23-12-2025 at Nykaa. Avl bal: Rs.1250.,13-10-2025,21:25:15
VM-JIOTXT-P,"Exclusive: Recharge Rs.299 and enjoy 1.5GB/day, unlimited calls & free roaming.",11-10-2025,00:09:29
VM-TRVLGO-P,Plan your trip! Rs.60 discount on flight + hotel packages for limited days.,11-10-2025,08:44:17
VI-VODAFN-P,Top-up Rs.999 to continue enjoying 3GB/day and weekend rollover data.,11-10-2025,22:44:24
DM-IRCTC-P,Book hotels now and get Rs.60 off on bookings above Rs.3000. Code: FESTIVE10,12-10-2025,04:19:31
AD-SBIGEN-P,Limited offer: Credit card spends above Rs.3000 get Rs.500 cashback this week.,13-10-2025,13:54:36
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.100 joining bonus.,11-10-2025,18:46:01
VM-SBIBNK-S,"Dear Saanvi, Rs.99 credited to your account 5678 on 20-01-2026. New balance: Rs.5000.",12-10-2025,12:10:02
VM-JIOTXT-P,"Exclusive: Recharge Rs.99 and enjoy 3GB/day, unlimited calls & free roaming.",11-10-2025,16:14:05
VM-SBIBNK-S,"Dear Saanvi, Rs.299 credited to your account 1357 on 20-01-2026. New balance: Rs.1250.",12-10-2025,05:26:19
VK-BSNLIN-P,Stay connected: Rs.299 pack with 3GB/day + free night calls for 21 days.,12-10-2025,22:24:32
VM-JIOTXT-S,"Dear customer, your recharge of Rs.149 for plan 1499 is successful. Valid till 23-12-2025.",13-10-2025,04:47:34
VI-VODAFN-P,Hot deal: Rs.199 recharge + 3GB GB bonus for 21 days. Hurry!,13-10-2025,05:31:01
VM-JIOTXT-P,Recharge now: Rs.499 plan valid for 56 days with 1GB/day and unlimited calls.,12-10-2025,07:11:47
VM-TRVLGO-P,Fly with us: Rs.10 off on selected flights booked today.,11-10-2025,14:05:14
VK-BSNLIN-P,Stay connected: Rs.149 pack with 1.5GB/day + free night calls for 28 days.,11-10-2025,18:45:16
VI-VODAFN-P,Top-up Rs.999 to continue enjoying 1GB/day and weekend rollover data.,13-10-2025,08:08:28
DM-IRCTC-P,Book hotels now and get Rs.30 off on bookings above Rs.3000. Code: SALE20,11-10-2025,15:46:47
VI-VODAFN-S,"Hello Saanvi, your top-up of Rs.249 has been processed. Balance: Rs.2500.",12-10-2025,10:10:10
AD-SBIGEN-P,Limited offer: Credit card spends above Rs.5000 get Rs.200 cashback this week.,12-10-2025,07:51:53
DM-IRCTC-P,Limited offer: Rs.40 off on domestic hotels. Book before 21 days end.,11-10-2025,05:32:17
VK-FLIPKRT-T,Flipkart OTP 448130 for your order payment of Rs.250. Valid for 5 minutes.,11-10-2025,15:00:59
VI-VODAFN-P,Hot deal: Rs.99 recharge + 1.5GB GB bonus for 56 days. Hurry!,13-10-2025,23:59:43
VI-VODAFN-P,Hot deal: Rs.249 recharge + 1GB GB bonus for 21 days. Hurry!,12-10-2025,18:17:03
VM-ICICIB-P,Avail Rs.30 off on insurance premium when paying via ICICI Bank.,13-10-2025,22:55:21
AD-YATRA-P,Holiday offer: Rs.25 off on adventure packages. Book now with code FLYNOW.,11-10-2025,10:54:59
VM-SBIBNK-S,"Dear Saanvi, Rs.999 credited to your account 3456 on 20-01-2026. New balance: Rs.15000.",12-10-2025,15:50:56
AD-SBIGEN-P,Limited offer: Credit card spends above Rs.5000 get Rs.100 cashback this week.,13-10-2025,22:03:28
VM-SBIBNK-S,"Dear Saanvi, Rs.149 credited to your account 9012 on 25-11-2025. New balance: Rs.5000.",12-10-2025,14:04:33
AD-AIRTEL-P,Special offer! Rs.999 prepaid pack gives 2GB/day + free SMS for 56 days.,11-10-2025,22:04:57
AD-AIRTEL-P,Special offer! Rs.249 prepaid pack gives 1.5GB/day + free SMS for 28 days.,13-10-2025,13:01:45
VM-ICICIB-P,Personal loan up to Rs.3000 approved instantly with zero processing fees.,13-10-2025,20:39:58
VM-JIOTXT-P,"Exclusive: Recharge Rs.999 and enjoy 2GB/day, unlimited calls & free roaming.",11-10-2025,01:22:10
DM-AXISBK-P,Invest Rs.299 in mutual funds and get Rs.100 bonus instantly.,13-10-2025,22:37:41
VM-JIOTXT-P,Recharge now: Rs.249 plan valid for 56 days with 2GB/day and unlimited calls.,12-10-2025,23:14:46
VK-UBERIN-P,Enjoy Rs.30 cashback on train bookings via IRCTC App this week.,11-10-2025,02:34:47
DM-AXISBK-P,Invest Rs.299 in mutual funds and get Rs.500 bonus instantly.,12-10-2025,13:47:13
VK-BSNLIN-P,Stay connected: Rs.299 pack with 3GB/day + free night calls for 14 days.,13-10-2025,17:51:16
DM-IRCTC-P,Weekend getaway: Rs.10 off on your first 3 bookings this month. Use SALE20.,11-10-2025,17:33:21
VM-JIOTXT-P,"Exclusive: Recharge Rs.149 and enjoy 1GB/day, unlimited calls & free roaming.",11-10-2025,05:13:53
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.500 joining bonus.,11-10-2025,06:02:49
AD-KOTAKB-P,Upgrade to Kotak 811 account & receive Rs.200 joining bonus.,13-10-2025,21:41:37
AD-PAYTM-T,655532 is your Paytm verification code for Rs.100 payment. Do not share with anyone.,11-10-2025,13:35:43
DM-IRCTC-P,Limited offer: Rs.50 off on domestic hotels. Book before 21 days end.,12-10-2025,03:34:43
VM-JIOTXT-P,Recharge now: Rs.149 plan valid for 14 days with 1.5GB/day and unlimited calls.,12-10-2025,17:55:21
DM-AXISBK-P,Invest Rs.249 in mutual funds and get Rs.300 bonus instantly.,13-10-2025,08:26:54
DM-AXISBK-P,Enjoy Rs.300 cashback on your next 3 transactions with Axis Bank card.,13-10-2025,12:10:58
VM-ICICIB-P,Personal loan up to Rs.3000 approved instantly with zero processing fees.,12-10-2025,11:13:03
VM-JIOTXT-P,"Exclusive: Recharge Rs.249 and enjoy 1.5GB/day, unlimited calls & free roaming.",12-10-2025,21:07:23
DM-AXISBK-P,Invest Rs.499 in mutual funds and get Rs.300 bonus instantly.,12-10-2025,11:09:54
AD-AIRTEL-S,Recharge of Rs.99 completed for mobile 9876543210. Plan valid up to 25-11-2025.,11-10-2025,20:01:37
VI-VODAFN-S,"Hello Saanvi, your top-up of Rs.199 has been processed. Balance: Rs.1250.",11-10-2025,03:02:11
AD-AIRTEL-P,Special offer! Rs.99 prepaid pack gives 1GB/day + free SMS for 56 days.,11-10-2025,23:54:09
VM-TRVLGO-P,Fly with us: Rs.25 off on selected flights booked today.,11-10-2025,09:52:05
VM-ICICIB-P,Personal loan up to Rs.5000 approved instantly with zero processing fees.,11-10-2025,10:16:21
